Nodes,Tasks,Algorithm,Type,m=1,m=10,m=100,m=1000,m=10000,m=100000
10,10,Baseline,0,25.9,42.0,123.0,946.0,15600.0,182000.0
10,10,Baseline,1,24.7,91.4,222.0,956.0,15300.0,181000.0
10,10,Baseline,2,21.1,42.5,121.0,953.0,15100.0,162000.0
10,10,Bruck,0,17.7,29.5,105.0,776.0,11700.0,89600.0
10,10,Bruck,1,16.5,31.0,110.0,863.0,8280.0,94500.0
10,10,Bruck,2,18.2,29.7,110.0,862.0,8260.0,92300.0
10,10,Circulant,0,22.2,33.2,112.0,877.0,8730.0,105000.0
10,10,Circulant,1,26.0,53.4,140.0,1000.0,9730.0,114000.0
10,10,Circulant,2,17.7,31.8,124.0,994.0,9730.0,111000.0
10,1,Baseline,0,8.87,10.1,14.2,56.0,445.0,4640.0
10,1,Baseline,1,9.18,10.1,13.7,50.2,448.0,4680.0
10,1,Baseline,2,9.1,10.4,13.5,130.0,451.0,4630.0
10,1,Bruck,0,9.45,10.1,13.5,53.4,503.0,7270.0
10,1,Bruck,1,9.02,10.3,14.9,64.1,577.0,8630.0
10,1,Bruck,2,9.34,10.0,15.9,64.5,575.0,8630.0
10,1,Circulant,0,8.57,10.1,13.7,66.4,576.0,8470.0
10,1,Circulant,1,8.78,10.2,15.5,76.1,667.0,9930.0
10,1,Circulant,2,8.23,9.8,15.6,76.3,648.0,10300.0
10,32,Baseline,0,34.1,83.3,476.0,6110.0,106000.0,1100000.0
10,32,Baseline,1,37.9,357.0,897.0,6320.0,105000.0,1110000.0
10,32,Baseline,2,32.3,80.5,469.0,6370.0,105000.0,1110000.0
10,32,Bruck,0,289.0,58.8,500.0,3110.0,42300.0,420000.0
10,32,Bruck,1,24.1,65.5,393.0,3510.0,42700.0,426000.0
10,32,Bruck,2,24.7,82.3,453.0,3550.0,42600.0,423000.0
10,32,Circulant,0,31.4,67.5,431.0,3520.0,50300.0,510000.0
10,32,Circulant,1,29.5,73.7,447.0,4010.0,53100.0,515000.0
10,32,Circulant,2,31.9,100.0,446.0,4150.0,52600.0,515000.0
1,10,Baseline,0,7.01,27.2,30.8,81.4,536.0,8150.0
1,10,Baseline,1,6.99,27.2,24.7,60.1,535.0,8280.0
1,10,Baseline,2,6.57,9.06,19.9,57.7,563.0,7680.0
1,10,Bruck,0,6.68,9.1,13.9,62.3,539.0,9720.0
1,10,Bruck,1,6.73,10.0,15.6,68.5,587.0,10800.0
1,10,Bruck,2,6.95,8.99,14.2,69.2,588.0,10800.0
1,10,Circulant,0,6.28,14.9,17.7,66.8,583.0,10300.0
1,10,Circulant,1,6.7,15.6,18.4,75.6,639.0,12000.0
1,10,Circulant,2,5.9,8.95,22.5,75.8,644.0,11500.0
1,1,Baseline,0,0.0539,0.0538,0.0544,0.054,0.054,0.0551
1,1,Baseline,1,0.0541,0.0541,0.0541,0.0537,0.0545,0.0545
1,1,Baseline,2,0.0544,0.0538,0.0539,0.0539,0.054,0.054
1,1,Bruck,0,0.0529,0.0532,0.0526,0.0526,0.0523,0.0526
1,1,Bruck,1,0.053,0.0532,0.0524,0.0528,0.0525,0.0531
1,1,Bruck,2,0.0528,0.0523,0.0524,0.0524,0.0524,0.0528
1,1,Circulant,0,0.0527,0.0522,0.0525,0.0527,0.0525,0.0524
1,1,Circulant,1,0.0527,0.0532,0.0525,0.0523,0.0525,0.0528
1,1,Circulant,2,0.0525,0.0524,0.0524,0.0523,0.0528,0.0529
1,32,Baseline,0,19.7,35.4,52.2,195.0,3080.0,52200.0
1,32,Baseline,1,15.9,16.8,30.2,182.0,3160.0,52600.0
1,32,Baseline,2,12.2,17.3,28.0,181.0,3220.0,51900.0
1,32,Bruck,0,14.3,29.9,47.4,180.0,1590.0,30300.0
1,32,Bruck,1,10.8,18.1,34.4,175.0,1690.0,32200.0
1,32,Bruck,2,11.6,17.0,31.7,174.0,1670.0,32000.0
1,32,Circulant,0,11.9,15.3,33.1,247.0,2380.0,42800.0
1,32,Circulant,1,6.9,11.8,38.0,247.0,2610.0,44100.0
1,32,Circulant,2,8.16,10.6,37.8,255.0,2620.0,44100.0
20,10,Baseline,0,26.1,58.0,237.0,2160.0,33900.0,370000.0
20,10,Baseline,1,224.0,143.0,384.0,2180.0,31100.0,331000.0
20,10,Baseline,2,30.8,53.1,231.0,2160.0,29200.0,334000.0
20,10,Bruck,0,22.6,42.3,188.0,1630.0,21800.0,187000.0
20,10,Bruck,1,29.2,43.1,213.0,1750.0,23700.0,202000.0
20,10,Bruck,2,26.1,50.5,280.0,1750.0,23600.0,205000.0
20,10,Circulant,0,24.6,45.9,205.0,1720.0,24900.0,214000.0
20,10,Circulant,1,27.6,98.6,308.0,2150.0,27600.0,227000.0
20,10,Circulant,2,26.2,45.1,253.0,1990.0,27600.0,231000.0
20,1,Baseline,0,12.0,14.7,23.5,117.0,1360.0,12500.0
20,1,Baseline,1,12.0,12.4,21.8,112.0,1350.0,12600.0
20,1,Baseline,2,12.0,12.9,22.2,114.0,1350.0,12600.0
20,1,Bruck,0,11.8,12.6,20.0,114.0,1160.0,14400.0
20,1,Bruck,1,11.9,13.0,23.7,137.0,1440.0,17600.0
20,1,Bruck,2,13.6,13.0,25.1,128.0,1430.0,17200.0
20,1,Circulant,0,11.4,13.7,24.3,145.0,1410.0,16200.0
20,1,Circulant,1,10.8,14.3,25.2,158.0,1560.0,18700.0
20,1,Circulant,2,10.6,13.2,24.9,158.0,1550.0,18700.0
20,32,Baseline,0,47.4,144.0,931.0,19000.0,218000.0,2270000.0
20,32,Baseline,1,48.9,403.0,1170.0,19100.0,218000.0,2250000.0
20,32,Baseline,2,44.8,133.0,920.0,19000.0,220000.0,2260000.0
20,32,Bruck,0,33.5,103.0,687.0,7040.0,84300.0,855000.0
20,32,Bruck,1,36.2,579.0,786.0,7590.0,88200.0,860000.0
20,32,Bruck,2,590.0,105.0,750.0,7800.0,87400.0,861000.0
20,32,Circulant,0,482.0,110.0,772.0,7800.0,103000.0,1040000.0
20,32,Circulant,1,208.0,128.0,861.0,8670.0,106000.0,1050000.0
20,32,Circulant,2,34.9,129.0,864.0,8850.0,106000.0,1050000.0
